doc_number,corp_name,status,filing_type,address_1,address_2,city,state,zip_code,file_date,fei_number,registered_agent,ra_city,ra_state,officer_1_title,officer_1_name,officer_2_title,officer_2_name,officer_3_title,officer_3_name,source_file
L26000175080,AMERICAS HOSPITALITY JOBS LLC,A,FLAL,1222 NW BENTLEY CIRCLE,UNIT B,PORT ST LUCIE,,34986,03262026,,VAZQUEZ             JORGE,PORT ST LUCIE,FL,MGR,JORGE               VAZQUEZ,,,,,20260403_corporate.txt
L26000175090,HAM & EGG LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,20260403_corporate.txt
L26000175100,TECHFINLENS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,20260403_corporate.txt
L26000175110,CONE ZONE ON ICE CREAM CORNER LLC,A,FLAL,2324 MAYO STREET,,HOLLYWOOD,,33020,03262026,,DORSETT             LAWANDA,MIAMI GARDENS,FL,AMBR,BRYAN               HUGH,,,,,20260403_corporate.txt
L26000175120,MCLEOD INVESTMENTS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,20260403_corporate.txt
L26000175130,"NATIONAL CLOSERS COLLECTIVE, LLC",A,FLAL,501 E KENNEDY AVE,SUITE 100,TAMPA,,33602,03262026,,BRUNDAGE            BRIAN         R,TAMPA,FL,MGR,BRUNDAGE            BRIAN         R,,,,,20260403_corporate.txt
L26000175140,DESI FIORI & FESTA LLC,A,FLAL,3420 W 106TH ST,,HIALEAH,,33018,03262026,,KAUR                AMANDEEP,HIALEAH,FL,MGR,KAUR                AMANDEEP,,,,,20260403_corporate.txt
L26000175150,SUNBUMS HOLDINGS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,AMBR,DENGELEGI           PATRICK,,,,,20260403_corporate.txt
L26000175160,BARBY'S BEAUTY & AESTHETICS LLC,A,FLAL,3106 ASHLAND LANE NORTH,,KISSIMMEE,,34741,03272026,,CASTRO VELASQUEZ    VANESSA       E,KISSIMMEE,FL,AMBR,CASTRO VELASQUEZ    VANESSA       E,,,,,20260403_corporate.txt
L26000175170,SERVICES CARE CORE LLC,A,FLAL,465 E 29TH ST,309,HIALEAH,,33013,03262026,,TIER ONE LLC,MIAMI,FL,MGR,GUEVARA             ROSMARY,,,,,20260403_corporate.txt
L26000175180,MOMMY BOSS LLC,A,FLAL,382 NE 191ST ST #202392,,MIAMI,,33179,03262026,,JOHNSON             KENDRA        Y,MIAMI,FL,AMBR,JOHNSON             KENDRA        Y,,,,,20260403_corporate.txt
